Project;Lat;Lon;City
ПРЕО;57.120865;65.495135;Тюмень
Беринг;57.152651;65.664659;Тюмень
Айвазовский Сity;57.16481;65.591477;Тюмень
Мириады;57.177823;65.670325;Тюмень
Соната-Парк;56.804167;60.586345;Екатеринбург
Преображенский;66.1233;76.663885;Новый Уренгой
Клубная;55.798519;49.225109;Казань
Инстеп.Перова;52.602804;39.55954;Липецк
Инстеп.Механизаторов;52.586936;39.564048;Липецк
Инстеп.Краснознаменная;51.647254;39.183648;Воронеж
Инстеп.Бабяково;51.673611;39.40238;Бабяково (Воронежская обл)
Инстеп.Хуторская;51.759238;36.195911;Курск
Инстеп.Сити;51.701767;36.158463;Курск
H2O;56.330418;44.033048;Нижний Новгород
Три Стихии;56.311969;44.091436;Нижний Новгород
Краснококшайская;55.807335;49.076731;Казань
Авиагородок;61.006541;69.052463;Ханты-Мансийск
