Project;Lat;Lon;City;Status
ПРЕО;57.120865;65.495135;Тюмень;Реализуется
Беринг;57.152651;65.664659;Тюмень;Реализуется
Айвазовский Сity;57.16481;65.591477;Тюмень;Реализуется
Мириады;57.177823;65.670325;Тюмень;Реализуется
Соната-Парк;56.804167;60.586345;Екатеринбург;Реализуется
Преображенский;66.1233;76.663885;Новый Уренгой;Реализуется
Клубная;55.798519;49.225109;Казань;Реализуется
Инстеп.Перова;52.602804;39.55954;Липецк;Реализуется
Инстеп.Механизаторов;52.586936;39.564048;Липецк;Реализуется
Инстеп.Краснознаменная;51.647254;39.183648;Воронеж;Реализуется
Инстеп.Бабяково;51.673611;39.40238;Бабяково (Воронежская обл);Реализуется
Инстеп. Хуторская;51.759238;36.195911;Курск;Реализуется
Инстеп.Сити;51.701767;36.158463;Курск;Реализуется
Н20;56.330418;44.033048;Нижний Новгород;На рассмотрении
Три Стихии;56.311969;44.091436;Нижний Новгород;На рассмотрении
Краснококшайская;55.807335;49.076731;Казань;На рассмотрении
Авиагородок;61.006541;69.052463;Ханты-Мансийск;На рассмотрении
Никольский;57.089725;65.515502;Тюмень;Завершен
Преображенский;57.119308;65.503101;Тюмень;Завершен
Преображенский на Московском;57.123663;65.470028;Тюмень;Завершен
Инстеп.Свиридова;52.574337;39.519191;Липецк;Завершен
Инстеп.Победа;52.57359;39.513271;Липецк;Завершен
Инстеп.Скандинавия;51.675597;39.131299;Воронеж;Завершен
Инстеп.Новый квартал Бабяково;51.67057;39.403857;Бабяково (Воронежская обл);Завершен
Инстеп.Конорева;51.707269;36.137572;Курск;Завершен
Инстеп.Плевицкая;51.721511;36.117569;Курск;Завершен
