price;area;lat;lon
7012730;38,29;51,66339;39,16472
5310900;56,2;51,648217;39,315008
7695150;84,09;51,648217;39,315008
7726764,1;54,4;51,73024;39,19846
4181760;36,13;51,718755;39,150166
9718080;57,29;51,722887;39,183201
19317765;93,3;51,653929;39,19561
11185680;73,58;51,71788;39,19044
7837760,5;54,4;51,73024;39,19846
9313344;66,59;51,71788;39,19044
4879569,6;32,74;51,71788;39,19044
2828390,4;14,88;51,73024;39,19846
12808000;80;51,66339;39,16472
5486994;65,62;51,0902207;40,031849
5307500;55;51,647951;39,315411
5100458,4;27,12;51,6401;39,18583
4820400;41,52;51,718755;39,150166
4282600;38;51,60916;39,37138
4118040;38,06;51,618781;39,248545
3507086;26,68;51,674317;39,403699
4544122;41,5;51,36854087;42,11685414
7098000;67,59;51,72046049;39,13798552
6824850;78,9;51,61088;39,36799
12260640;85,44;51,65531;39,23815
7012730;38,29;51,66339;39,16472
6867254;40,36;51,65185;39,18399
4808440;36,4;51,56919;39,12012
6575551;55,09;51,63587;39,25059
8485050;80,8;51,62829;39,32708
8771030;53,81;51,651;39,17766
7820736;70,83;51,60978;39,381
4467110;20,6;51,67652;39,17553
13666320;48,59;51,65898;39,18725
4599400;39,83;51,618985;39,247526
5110000;46,09;51,685245;39,075692
2639225;23,04;51,60915;39,37122
5366930,4;36;51,71788;39,19044
13084255;81,69;51,664464;39,252986
12748830;53,72;51,65898;39,18725
4575000;39,83;51,618985;39,247526
3523080;20,39;51,569384;39,118105
15532922;74,62;51,699254;39,264036
6889374;40,49;51,65185;39,18399
6024000;50,2;51,701773;39,2062
6025980;35,5;51,70412;39,27386
4256767;40,95;51,0902207;40,031849
9825600;71,19;51,71788;39,19044
5109400;43,29;51,739372;39,315543
7059524;41,49;51,65185;39,18399
5242760;49,45;51,54828;39,09313
8795715;43,34;51,72542;39,18063
10233080;57,2;51,664464;39,252986
4411764;25,62;51,73024;39,19846
4346134,1;34,09;51,574009;39,130905
11102440;65,31;51,723514;39,180801
12217627;88,69;51,646044;39,128907
5252280;30,36;51,71033;39,23067
12453420;83,58;51,67519;39,244057
6719760;36,59;51,67652;39,17553
2828390,4;14,88;51,73024;39,19846
16498182;76,95;51,698978;39,263224
7355450;46,84;51,71788;39,19044
24492170;127,09;51,653929;39,19561
13431625;67,76;51,64086;39,15054
6378900;38,65;51,69545;39,20925
14686000;104,9;51,719573;39,184384
3521760;26,68;51,674317;39,403699
4988850;39,5;51,56919;39,12012
10704200;71,59;51,65531;39,23815
13422338;64,98;51,64086;39,15054
6701071;58,29;51,739372;39,315543
9760735;62,77;51,65531;39,23815
7070000;40,4;51,67768;39,2764
6443968;37,63;51,692872;39,130697
9350055;42,9;51,653929;39,19561
8509160;46,59;51,66339;39,16472
3179665;27,77;51,60978;39,381
13286678,65;88,51;51,6401;39,18583
7012730;38,29;51,66339;39,16472
4280320;33,43;51,574009;39,130905
12116420;88,69;51,646044;39,128907
4779797;40,61;51,674317;39,403699
4193640;36,13;51,718755;39,150166
4501215;20,7;51,6766;39,17552
6845425;41,5;51,6401;39,18583
7881636;55,74;51,64088;39,16197
9710000;106,09;51,81536;39,14698
5448000;45,4;51,91159;39,32979
6650017,6;46,04;51,71788;39,19044
2704955;20,56;51,63616;39,27488
5205400;30,62;51,69545;39,20925
4969100;39,5;51,56919;39,12012
3224320;28,15;51,60978;39,381
6483607,5;78,9;51,61088;39,36799
2935835;20,89;51,739372;39,315543
